"depthclass","hind","simulation","varname","year","mean_value_dc_610_to_630"
"Bottom","yes","ssp126","Mean temp Feb to April",2066,7.77809449988287
"Bottom","yes","ssp126","Mean temp Feb to April",2067,8.16826073533367
"Bottom","yes","ssp126","Mean temp Feb to April",2068,7.48826332114132
"Bottom","yes","ssp126","Mean temp Feb to April",2069,7.12620714380525
"Bottom","yes","ssp126","Mean temp Feb to April",2070,7.28731222914082
"Bottom","yes","ssp126","Mean temp Feb to April",2071,6.40649523126155
"Bottom","yes","ssp126","Mean temp Feb to April",2072,7.77561989172349
"Bottom","yes","ssp126","Mean temp Feb to April",2073,7.24003105428096
"Bottom","yes","ssp126","Mean temp Feb to April",2074,8.4253030942161
"Bottom","yes","ssp126","Mean temp Feb to April",2075,8.01780159448261
"Bottom","yes","ssp126","Mean temp Feb to April",2076,6.19230218599728
"Bottom","yes","ssp126","Mean temp Feb to April",2077,6.70330140646404
"Bottom","yes","ssp126","Mean temp Feb to April",2078,7.77574207031024
"Bottom","yes","ssp126","Mean temp Feb to April",2079,6.86237225715519
"Bottom","yes","ssp126","Mean temp Feb to April",2080,7.77107904070804
"Bottom","yes","ssp126","Mean temp Feb to April",2081,7.47868332725741
"Bottom","yes","ssp126","Mean temp Feb to April",2082,8.55897103791408
"Bottom","yes","ssp126","Mean temp Feb to April",2083,8.37352407644023
"Bottom","yes","ssp126","Mean temp Feb to April",2084,6.73414109240946
"Bottom","yes","ssp126","Mean temp Feb to April",2085,5.80147058037254
"Bottom","yes","ssp126","Mean temp Feb to April",2086,7.25194531526392
"Bottom","yes","ssp126","Mean temp Feb to April",2087,7.51959934255764
"Bottom","yes","ssp126","Mean temp Feb to April",2088,7.82181987446934
"Bottom","yes","ssp126","Mean temp Feb to April",2089,7.65265505510456
"Bottom","yes","ssp126","Mean temp Feb to April",2090,7.71476950571044
"Bottom","yes","ssp126","Mean temp Feb to April",2091,6.93578172705269
"Bottom","yes","ssp126","Mean temp Feb to April",2092,7.44548945660784
"Bottom","yes","ssp126","Mean temp Feb to April",2093,8.31001746741541
"Bottom","yes","ssp126","Mean temp Feb to April",2094,7.82306483460818
"Bottom","yes","ssp126","Mean temp Feb to April",2095,7.01766591315795
"Bottom","yes","ssp126","Mean temp Feb to April",2096,7.62422497629555
"Bottom","yes","ssp126","Mean temp Feb to April",2097,8.57110195634529
"Bottom","yes","ssp126","Mean temp Feb to April",2098,8.34868338856351
"Bottom","yes","ssp126","Mean temp Feb to April",2099,7.9997708596958
"Bottom","no","ssp585","Mean temp Feb to April",1980,5.50390013633227
"Bottom","no","ssp585","Mean temp Feb to April",1981,5.65308284451592
"Bottom","no","ssp585","Mean temp Feb to April",1982,6.77482815680262
"Bottom","no","ssp585","Mean temp Feb to April",1983,6.63649412755868
"Bottom","no","ssp585","Mean temp Feb to April",1984,6.17329163602262
