"","year","month","prod_PhL_biom_month","prod_PhS_biom_month","CGOA_prod_Ph"
"50",1984,2,117.256755222245,43.759246274293,80.5080007482691
"51",1984,3,291.730050983951,85.6021427519067,188.666096867929
"52",1984,4,324.083071556997,92.4789013310212,208.280986444009
"53",1984,5,321.399375356335,82.0860649044045,201.74272013037
"54",1984,6,280.200719005915,55.102176113829,167.651447559872
"55",1984,7,283.428417502998,42.4731340342887,162.950775768643
"56",1984,8,270.48356847038,34.7739723308074,152.628770400594
"57",1984,9,240.475513971528,45.0137185118309,142.74461624168
"58",1984,10,163.164491934394,46.0788169911376,104.621654462766
"59",1984,11,51.3343071909607,18.920639791389,35.1274734911748
"60",1984,12,19.9586737361939,8.39206985612696,14.1753717961604
"61",1985,1,21.0790557237973,9.71197065917024,15.3955131914838
"62",1985,2,184.289570854838,59.3966258714523,121.843098363145
"63",1985,3,268.047068836913,85.6287486125859,176.837908724749
"64",1985,4,412.692037893644,97.3011983190694,254.996618106357
"65",1985,5,325.363287142982,79.2194536084317,202.291370375707
"66",1985,6,333.644653739549,60.599219455707,197.121936597628
"67",1985,7,325.471677522039,56.5123285835582,190.992003052799
"68",1985,8,293.074764358426,42.7135615490293,167.894162953728
"69",1985,9,255.237416393882,43.2054905588117,149.221453476347
"70",1985,10,139.309527984662,42.2793213206563,90.7944246526594
"71",1985,11,57.0193918733743,23.4699636698623,40.2446777716183
"72",1985,12,11.3581614134605,6.23997215085831,8.79906678215942
"73",1986,1,20.4100239383252,9.82789266905726,15.1189583036912
"74",1986,2,101.646303393569,39.2791805904912,70.4627419920302
"75",1986,3,247.755022656793,74.3857626971627,161.070392676978
"76",1986,4,386.580469672895,97.7992781098682,242.189873891381
"77",1986,5,396.307913833368,69.8453487717663,233.076631302567
"78",1986,6,297.05983787587,52.6792873188761,174.869562597373
"79",1986,7,314.71164589871,35.5937960442443,175.152720971477
"80",1986,8,286.481195223906,32.6334469198445,159.557321071875
"81",1986,9,291.143550335343,50.1343685551572,170.63895944525
"82",1986,10,150.117200391214,43.059985569377,96.5885929802956
"83",1986,11,85.43201952173,32.1282444464172,58.7801319840736
"84",1986,12,13.8790096123015,6.88925245854359,10.3841310354225
"85",1987,1,23.4067656849789,10.4733949578631,16.940080321421
"86",1987,2,119.393586693904,40.6425577532556,80.0180722235797
"87",1987,3,209.331556323494,70.6491641701049,139.990360246799
"88",1987,4,426.752397334637,107.596351805591,267.174374570114
"89",1987,5,376.836406976781,92.541262512199,234.68883474449
"90",1987,6,369.326446441878,72.6145292597469,220.970487850813
