"depthclass","hind","simulation","varname","year","mean_value_dc_610_to_630"
"Bottom","no","ssp126","Mean temp Feb to April",2091,7.34527995538914
"Bottom","no","ssp126","Mean temp Feb to April",2092,7.77283321537215
"Bottom","no","ssp126","Mean temp Feb to April",2093,8.43147587115397
"Bottom","no","ssp126","Mean temp Feb to April",2094,8.03635489347587
"Bottom","no","ssp126","Mean temp Feb to April",2095,7.46618980969719
"Bottom","no","ssp126","Mean temp Feb to April",2096,7.82462609844952
"Bottom","no","ssp126","Mean temp Feb to April",2097,8.59658623140588
"Bottom","no","ssp126","Mean temp Feb to April",2098,8.42174996336714
"Bottom","no","ssp126","Mean temp Feb to April",2099,8.15941278318075
"Bottom","yes","ssp126","Mean temp Feb to April",1980,6.56225014192782
"Bottom","yes","ssp126","Mean temp Feb to April",1981,6.47392015014643
"Bottom","yes","ssp126","Mean temp Feb to April",1982,7.22106388398098
"Bottom","yes","ssp126","Mean temp Feb to April",1983,7.14386919242465
"Bottom","yes","ssp126","Mean temp Feb to April",1984,6.83078856557499
"Bottom","yes","ssp126","Mean temp Feb to April",1985,6.24933497175383
"Bottom","yes","ssp126","Mean temp Feb to April",1986,7.08274635570307
"Bottom","yes","ssp126","Mean temp Feb to April",1987,6.78990737024073
"Bottom","yes","ssp126","Mean temp Feb to April",1988,6.30741089159902
"Bottom","yes","ssp126","Mean temp Feb to April",1989,6.64739432661883
"Bottom","yes","ssp126","Mean temp Feb to April",1990,6.17893844649864
"Bottom","yes","ssp126","Mean temp Feb to April",1991,6.03815441969825
"Bottom","yes","ssp126","Mean temp Feb to April",1992,6.82369385967065
"Bottom","yes","ssp126","Mean temp Feb to April",1993,6.64663660170815
"Bottom","yes","ssp126","Mean temp Feb to April",1994,6.29416892105883
"Bottom","yes","ssp126","Mean temp Feb to April",1995,6.30881875943427
"Bottom","yes","ssp126","Mean temp Feb to April",1996,6.9543287615547
"Bottom","yes","ssp126","Mean temp Feb to April",1997,7.07337605628092
"Bottom","yes","ssp126","Mean temp Feb to April",1998,7.30410516621507
"Bottom","yes","ssp126","Mean temp Feb to April",1999,6.46728919656378
"Bottom","yes","ssp126","Mean temp Feb to April",2000,6.83434648482962
"Bottom","yes","ssp126","Mean temp Feb to April",2001,7.09858044120932
"Bottom","yes","ssp126","Mean temp Feb to April",2002,6.8136413323805
"Bottom","yes","ssp126","Mean temp Feb to April",2003,7.63941191866952
"Bottom","yes","ssp126","Mean temp Feb to April",2004,7.02905582012712
"Bottom","yes","ssp126","Mean temp Feb to April",2005,7.49924197292739
"Bottom","yes","ssp126","Mean temp Feb to April",2006,7.03131022567419
"Bottom","yes","ssp126","Mean temp Feb to April",2007,6.20395722272549
"Bottom","yes","ssp126","Mean temp Feb to April",2008,6.47581601740307
"Bottom","yes","ssp126","Mean temp Feb to April",2009,6.33827299947644
"Bottom","yes","ssp126","Mean temp Feb to April",2010,7.17602394685658
"Bottom","yes","ssp126","Mean temp Feb to April",2011,6.48269672153916
"Bottom","yes","ssp126","Mean temp Feb to April",2012,6.55114808832954
