"","date","PP"
"156",1992-12-01,1.01514116457313
"157",1993-01-01,1.05082611906902
"158",1993-02-01,1.04566497808581
"159",1993-03-01,0.683682697394629
"160",1993-04-01,0.991116014141655
"161",1993-05-01,1.11686155660534
"162",1993-06-01,1.01340731360783
"163",1993-07-01,1.03612088338722
"164",1993-08-01,1.05041741623209
"165",1993-09-01,0.985100724470989
"166",1993-10-01,1.02097152259432
"167",1993-11-01,0.981004457087518
"168",1993-12-01,1.08324426484916
"169",1994-01-01,1.02942911358516
"170",1994-02-01,0.887444383145911
"171",1994-03-01,0.797826100784926
"172",1994-04-01,1.06776040630924
"173",1994-05-01,1.20490569274284
"174",1994-06-01,1.23613291375437
"175",1994-07-01,1.03326479074997
"176",1994-08-01,1.11829242929676
"177",1994-09-01,1.1380185097712
